SOLAR RADIATION IN W/m2 (UNTERHACHING);;;
I_Gh;I_Dh;I_ex;hs
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
4.833984375;0;64;0
55.734375;29.76868397;266;6.862154355
130.6875;72.9508955;431;14.55663434
190.5625;100.9510488;546;20.60614765
206.6875;116.8638164;604;24.48409808
253.4375;144.2326545;601;25.75815526
256.5;151.289816;537;24.26568308
199.9375;117.9712691;417;20.19609122
109.28125;77.70532919;248;13.99578038
32.203125;33.01580276;43;6.192119918
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
11.7578125;0;70;0
118.15625;55.21082824;272;7.095071559
271.625;139.2059943;437;14.81019917
383;183.6560683;552;20.88141868
445.5;240.6968725;610;24.77759446
454.75;249.1176945;607;26.06137588
412.5;235.6172302;543;24.56755242
320.75;175.8998289;423;20.48728604
187.625;125.0835178;255;14.27148383
45.953125;43.76214841;50;6.451926422
0.002915382;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
16.3359375;0;75;0
137.6875;61.98939009;278;7.333645667
275.875;140.9096569;443;15.06937621
381.375;182.5652811;558;21.1622155
408.25;221.6807903;616;25.07639325
386.75;214.0625359;614;26.36944548
328.75;190.428202;550;24.87358826
184.3125;108.8716088;430;20.78186499
105.75;74.77538424;261;14.54985314
29.2578125;29.72858749;56;6.713847321
0.007049561;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
17.640625;0;81;0
142.375;64.06163111;284;7.577798408
281.25;143.064058;449;15.33408092
353.625;171.2749778;565;21.44844809
263.625;146.6254572;623;25.3803991
209.9375;119.5663858;620;26.68226233
367.75;210.9864471;557;25.18368243
276;154.3419379;437;21.07971695
126.59375;87.76436077;268;14.83078011
30.5;30.4667943;62;6.977782541
0.019432068;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
